,name,color_identity,type_line
0,Static Orb,[],Artifact
1,Sensory Deprivation,['U'],Enchantment — Aura
2,Road of Return,['G'],Sorcery
3,Storm Crow,['U'],Creature — Bird
4,Walking Sponge,['U'],Creature — Sponge
5,Ravnica at War,['W'],Sorcery
6,Torrent of Fire,['R'],Sorcery
7,Wyluli Wolf,['G'],Creature — Wolf
8,Pteramander,['U'],Creature — Salamander Drake
9,Nantuko Elder,['G'],Creature — Insect Druid
10,Vedalken Heretic,"['G', 'U']",Creature — Vedalken Rogue
11,Waterknot,['U'],Enchantment — Aura
12,Ruthless Knave,['B'],Creature — Orc Pirate
13,Palinchron,['U'],Creature — Illusion
14,"Hua Tuo, Honored Physician",['G'],Legendary Creature — Human
15,Veil of Summer,['G'],Instant
16,Disposal Mummy,['W'],Creature — Zombie Jackal
17,Wei Strike Force,['B'],Creature — Human Soldier
18,Marang River Prowler,['U'],Creature — Human Rogue
19,Aura Graft,['U'],Instant
20,Murk Dwellers,['B'],Creature — Zombie
21,Whispering Shade,['B'],Creature — Shade
22,Wall of Fortune,['U'],Artifact Creature — Wall
23,Saheeli's Artistry,['U'],Sorcery
24,"Kalitas, Bloodchief of Ghet",['B'],Legendary Creature — Vampire Warrior
25,Safewright Quest,"['G', 'W']",Sorcery
26,Instill Infection,['B'],Instant
27,Tyranid,['G'],Token Creature — Tyranid
28,Weakstone,[],Artifact
29,Demon,['B'],Token Creature — Demon
30,Strength of Night,"['B', 'G']",Instant
31,High-Rise Sawjack,['G'],Creature — Elf Citizen
32,"Spike, Tournament Grinder",['B'],Legendary Creature — Human Gamer
33,Keldon Raider,['R'],Creature — Human Warrior
34,Leopard-Spotted Jiao,['R'],Creature — Beast
35,Behemoth Sledge,"['G', 'W']",Artifact — Equipment
36,"Tatsunari, Toad Rider // Tatsunari, Toad Rider",[],Card // Card
37,"Toluz, Clever Conductor","['B', 'U', 'W']",Legendary Creature — Human Rogue
38,Kindred Discovery,['U'],Enchantment
39,Stern Marshal,['W'],Creature — Human Soldier
40,Trapjaw Tyrant,['W'],Creature — Dinosaur
41,Strength of Unity,['W'],Enchantment — Aura
42,Savai Triome,"['B', 'R', 'W']",Land — Mountain Plains Swamp
43,Warden of the First Tree,"['B', 'G', 'W']",Creature — Human
44,Thunderherd Migration,['G'],Sorcery
45,One with the Kami,['G'],Enchantment — Aura
46,Carnage Wurm,['G'],Creature — Wurm
47,Goblin Barrage,['R'],Sorcery
48,Dungeon Delver,['U'],Legendary Enchantment — Background
49,Pharika's Mender,"['B', 'G']",Creature — Gorgon
50,Mind Extraction,['B'],Sorcery
51,Thopter Assembly,[],Artifact Creature — Thopter
52,Professor of Zoomancy // Professor of Zoomancy,[],Card // Card
53,Theft of Dreams,['U'],Sorcery
54,Dakmor Scorpion,['B'],Creature — Scorpion
55,Brawn,['G'],Creature — Incarnation
56,Steadfast Cathar,['W'],Creature — Human Soldier
57,"Harald, King of Skemfar","['B', 'G']",Legendary Creature — Elf Warrior
58,Magma Sliver,['R'],Creature — Sliver
59,Deem Worthy,['R'],Instant
60,Coalition Relic,[],Artifact
61,Vizier of Deferment,['W'],Creature — Human Cleric
62,"Tinybones, Trinket Thief",['B'],Legendary Creature — Skeleton Rogue
63,"Shizo, Death's Storehouse",['B'],Legendary Land
64,Summon the School,['W'],Tribal Sorcery — Merfolk
65,Courageous Outrider,['W'],Creature — Human Scout
66,Soul-Scar Mage,['R'],Creature — Human Wizard
67,Airdrop Aeronauts,['W'],Creature — Dwarf Scout
68,Mindlink Mech,['U'],Artifact — Vehicle
69,Scaled Wurm,['G'],Creature — Wurm
70,Phyrexian Juggernaut,[],Artifact Creature — Phyrexian Juggernaut
71,"Yorvo, Lord of Garenbrig",['G'],Legendary Creature — Giant Noble
72,Squadron Hawk,['W'],Creature — Bird
73,Boros Recruit,"['R', 'W']",Creature — Goblin Soldier
74,Patchwork Gnomes,[],Artifact Creature — Gnome
75,Ogre Arsonist,['R'],Creature — Ogre
76,Hunt the Hunter,['G'],Sorcery
77,Timber Gorge,"['G', 'R']",Land
78,Blur,['U'],Instant
79,Crypt Creeper,['B'],Creature — Zombie
80,Ultramarines Honour Guard,['W'],Token Creature — Astartes Warrior
81,Devoted Paladin,['W'],Creature — Orc Knight
82,Unyielding Krumar,"['B', 'W']",Creature — Orc Warrior
83,Solemn Simulacrum,[],Artifact Creature — Golem
84,Demonic Vigor,['B'],Enchantment — Aura
85,Courier's Briefcase,"['B', 'G', 'R', 'U', 'W']",Artifact — Treasure
86,Half-Elf Monk,['W'],Creature — Human Elf Monk
