,name,mana_cost,cmc,edhrec_rank
0,Static Orb,{3},3.0,2895.0
1,Sensory Deprivation,{U},1.0,22520.0
2,Road of Return,{G}{G},2.0,4579.0
3,Storm Crow,{1}{U},2.0,13287.0
4,Walking Sponge,{1}{U},2.0,20151.0
5,Ravnica at War,{3}{W},4.0,4966.0
6,Torrent of Fire,{3}{R}{R},5.0,20187.0
7,Wyluli Wolf,{1}{G},2.0,19877.0
8,Pteramander,{U},1.0,9329.0
9,Nantuko Elder,{2}{G},3.0,7996.0
10,Vedalken Heretic,{G}{U},2.0,17403.0
11,Waterknot,{1}{U}{U},3.0,14389.0
12,Ruthless Knave,{2}{B},3.0,3972.0
13,Palinchron,{5}{U}{U},7.0,4658.0
14,"Hua Tuo, Honored Physician",{1}{G}{G},3.0,7423.0
15,Veil of Summer,{G},1.0,230.0
16,Disposal Mummy,{2}{W},3.0,19828.0
17,Wei Strike Force,{2}{B},3.0,20192.0
18,Marang River Prowler,{2}{U},3.0,4521.0
19,Aura Graft,{1}{U},2.0,15971.0
20,Murk Dwellers,{3}{B},4.0,23662.0
21,Whispering Shade,{3}{B},4.0,18800.0
22,Wall of Fortune,{1}{U},2.0,
23,Saheeli's Artistry,{4}{U}{U},6.0,2887.0
24,"Kalitas, Bloodchief of Ghet",{5}{B}{B},7.0,9508.0
25,Safewright Quest,{G/W},1.0,11278.0
26,Instill Infection,{3}{B},4.0,15587.0
27,Tyranid,,0.0,
28,Weakstone,{4},4.0,21266.0
29,Demon,,0.0,
30,Strength of Night,{2}{G},3.0,22236.0
31,High-Rise Sawjack,{2}{G},3.0,17138.0
32,"Spike, Tournament Grinder",{2}{B/P}{B/P},4.0,
33,Keldon Raider,{2}{R}{R},4.0,18640.0
34,Leopard-Spotted Jiao,{1}{R},2.0,23253.0
35,Behemoth Sledge,{1}{G}{W},3.0,3568.0
36,"Tatsunari, Toad Rider // Tatsunari, Toad Rider",,0.0,
37,"Toluz, Clever Conductor",{W/U}{U}{U/B},3.0,8540.0
38,Kindred Discovery,{3}{U}{U},5.0,745.0
39,Stern Marshal,{2}{W},3.0,22424.0
40,Trapjaw Tyrant,{3}{W}{W},5.0,4145.0
41,Strength of Unity,{3}{W},4.0,21806.0
42,Savai Triome,,0.0,307.0
43,Warden of the First Tree,{G},1.0,15269.0
44,Thunderherd Migration,{1}{G},2.0,5793.0
45,One with the Kami,{3}{G},4.0,6383.0
46,Carnage Wurm,{6}{G},7.0,11887.0
47,Goblin Barrage,{3}{R},4.0,15252.0
48,Dungeon Delver,{1}{U},2.0,7225.0
49,Pharika's Mender,{3}{B}{G},5.0,11885.0
50,Mind Extraction,{2}{B},3.0,18903.0
51,Thopter Assembly,{6},6.0,2598.0
52,Professor of Zoomancy // Professor of Zoomancy,,0.0,
53,Theft of Dreams,{2}{U},3.0,9361.0
54,Dakmor Scorpion,{1}{B},2.0,23433.0
55,Brawn,{3}{G},4.0,2324.0
56,Steadfast Cathar,{1}{W},2.0,22069.0
57,"Harald, King of Skemfar",{1}{B}{G},3.0,3631.0
58,Magma Sliver,{3}{R},4.0,8337.0
59,Deem Worthy,{4}{R},5.0,12892.0
60,Coalition Relic,{3},3.0,1648.0
61,Vizier of Deferment,{2}{W},3.0,15658.0
62,"Tinybones, Trinket Thief",{1}{B},2.0,3633.0
63,"Shizo, Death's Storehouse",,0.0,802.0
64,Summon the School,{3}{W},4.0,12839.0
65,Courageous Outrider,{3}{W},4.0,15141.0
66,Soul-Scar Mage,{R},1.0,7651.0
67,Airdrop Aeronauts,{3}{W}{W},5.0,19315.0
68,Mindlink Mech,{2}{U},3.0,5833.0
69,Scaled Wurm,{7}{G},8.0,18072.0
70,Phyrexian Juggernaut,{6},6.0,7941.0
71,"Yorvo, Lord of Garenbrig",{G}{G}{G},3.0,4752.0
72,Squadron Hawk,{1}{W},2.0,21908.0
73,Boros Recruit,{R/W},1.0,12339.0
74,Patchwork Gnomes,{3},3.0,13023.0
75,Ogre Arsonist,{4}{R},5.0,19799.0
76,Hunt the Hunter,{G},1.0,16616.0
77,Timber Gorge,,0.0,5536.0
78,Blur,{2}{U},3.0,5434.0
79,Crypt Creeper,{1}{B},2.0,18241.0
80,Ultramarines Honour Guard,,0.0,
81,Devoted Paladin,{4}{W},5.0,16514.0
82,Unyielding Krumar,{3}{B},4.0,21132.0
83,Solemn Simulacrum,{4},4.0,25.0
84,Demonic Vigor,{B},1.0,8090.0
85,Courier's Briefcase,{1}{G},2.0,18315.0
86,Half-Elf Monk,{3}{W},4.0,17593.0
